clip,lang,prob,text
dataset/66. Ч.2. Болезнь/sound/0005.mp3,de,0.688,"Ihr kann riech können, taft können, reidet dann."
dataset/66. Ч.2. Болезнь/sound/0011.mp3,fr,0.208,Zoom !
dataset/66. Ч.2. Болезнь/sound/0013.mp3,mn,0.260,"Masha'r Żerde, Aksen, Kus, Korte, Dendekte, Ašte, Ušte, Grisje."
dataset/66. Ч.2. Болезнь/sound/0014.mp3,lt,0.362,Masaštite rieššinis.
dataset/66. Ч.2. Болезнь/sound/0015.mp3,bg,0.535,и я сащата рищен.
dataset/66. Ч.2. Болезнь/sound/0016.mp3,fa,0.250,مجرد ختزقنه ویجرد ختزقنه
dataset/66. Ч.2. Болезнь/sound/0018.mp3,ru,0.561,Сидарище
dataset/66. Ч.2. Болезнь/sound/0019.mp3,de,0.421,am Rieche
dataset/66. Ч.2. Болезнь/sound/0020.mp3,ru,0.330,Дагрешта Ралаш.
dataset/66. Ч.2. Болезнь/sound/0021.mp3,en,0.337,ULF MAULF
dataset/66. Ч.2. Болезнь/sound/0022.mp3,hy,0.212,"อрخhošма, 6-9-1-1-1 ดай пульс, дапульсма-1-1-1"
dataset/66. Ч.2. Болезнь/sound/0026.mp3,tr,0.468,Kharga kutkanış.
dataset/66. Ч.2. Болезнь/sound/0027.mp3,tr,0.677,"Dışarılar işi, zil."
dataset/66. Ч.2. Болезнь/sound/0028.mp3,ar,0.242,سعر خسقا نشتايرنشا نوتا
dataset/66. Ч.2. Болезнь/sound/0029.mp3,de,0.511,Teefum.
dataset/66. Ч.2. Болезнь/sound/0030.mp3,fr,0.143,Désentirie
dataset/66. Ч.2. Болезнь/sound/0033.mp3,la,0.282,"Raždarni kushat tubirkulosei tifaj, gobanižaj, tafša gaj, miningitej."
dataset/66. Ч.2. Болезнь/sound/0035.mp3,tr,0.939,Kampres ukuldun.
dataset/66. Ч.2. Болезнь/sound/0036.mp3,de,0.946,Ich kann noch mal gucken.
dataset/66. Ч.2. Болезнь/sound/0037.mp3,tr,0.452,Yasaf'ın babası dayı.
dataset/66. Ч.2. Болезнь/sound/0038.mp3,ar,0.159,يوصال بونده يوصال بونية خوشن باكاوزن
dataset/66. Ч.2. Болезнь/sound/0040.mp3,de,0.984,"Apiraziden, Apirazien, können Kauhe, Anermang."
dataset/66. Ч.2. Болезнь/sound/0042.mp3,tr,0.826,taşagaydım.
dataset/66. Ч.2. Болезнь/sound/0043.mp3,lt,0.414,Taš šagaijim nisis.
dataset/66. Ч.3. Больница/sound/0001.mp3,ro,0.338,"Nirmada Nirmai-Rancindonei, Rafašin"
dataset/66. Ч.3. Больница/sound/0002.mp3,pl,0.443,Nammatisch.
dataset/66. Ч.3. Больница/sound/0003.mp3,ru,0.150,"Ренчендониден, ренчендонийн, хочдарозан."
dataset/66. Ч.3. Больница/sound/0004.mp3,az,0.109,"Tārta, tārda, rāfış sıştam, rünçün donay."
dataset/66. Ч.3. Больница/sound/0005.mp3,ro,0.596,"Rancându-ne carantinii, rancând farscite mi-dama na oazam."
dataset/66. Ч.3. Больница/sound/0006.mp3,lt,0.463,Salšiantadžiš uroňčiandonu.
dataset/66. Ч.3. Больница/sound/0007.mp3,pl,0.224,Wakawe rynciędą i...
dataset/66. Ч.4. Врач/sound/0001.mp3,az,0.433,Dögtür məməm ərbəkəndə qorcaqay
dataset/66. Ч.4. Врач/sound/0002.mp3,az,0.180,Kamsar döktür.
dataset/66. Ч.4. Врач/sound/0003.mp3,ar,0.236,كس شاخة فكوشة دخطر
dataset/66. Ч.4. Врач/sound/0004.mp3,lt,0.368,"Nevropatolagu, gini kolagu, akulistu, stamatolagu. Manfandy, machifieninkanin, Tirapieftan, Chirurgan, Nevropatolagu, gi"
dataset/66. Ч.4. Врач/sound/0005.mp3,az,0.349,"Saçditə dəkdirən, stəmat hoolagən dəndəkdir dəkdirən."
dataset/66. Ч.4. Врач/sound/0006.mp3,bg,0.469,"савърниждам, савърнижам, шартой, догдрата."
